,COMPND,AUTHOR,MASTER,vina_affinity,vina_rmsd_lb,vina_rmsd_ub,vina_rmsd_input,vina_rmsd_input_min,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,vina_hydrogen,vina_intra_gauss1,vina_intra_gauss2,vina_intra_repulsion,vina_intra_hydrophobic,vina_intra_hydrogen,vina_num_rotors,rfscore_v3,name
180,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-11.337108219527135,0.0,0.0,6.513897,6.513897,162.6689672702701,2479.8014063035544,4.683918496938167,0.8034686411685703,6.732600776095293,46.49497501794014,520.5640679993564,2.123050953043889,0.0,2.114107476848824,11.0,5.783167778610284,B2AR_Nico_dock.pdb
184,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-10.540201821765347,4.712,8.968,6.3992677,6.3992677,136.2560924718502,2299.4988283423518,2.0390489218375647,14.129202780954467,3.1065705699471957,59.49311034417463,626.6047398206892,1.3201963887311556,0.0,2.71831717648578,11.0,6.103544791042293,B2AR_Nico_dock.pdb
185,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-10.512021245349807,3.571,6.45,0.9023785,0.9023785,122.48275733906151,2442.8807100392137,4.399713969536196,10.254643611172057,6.212398697304501,51.19899786646554,583.3291194468998,2.0029696219165523,0.0,4.881955857960742,11.0,5.990835555111558,B2AR_Nico_dock.pdb
36,192764,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   94    0   94    0,-10.50455111394174,0.0,0.0,9.698325,9.675061999999999,161.5048126905925,2812.477287118975,2.9773899027036523,96.80315421158855,2.787288908652271,90.98195950417043,691.5073579592944,3.2875350613420427,6.109442601509321,5.425728959403089,20.0,7.8711297445332455,B2AR_Gast_dock.pdb
181,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-10.440432305946144,3.0789999999999997,5.928999999999999,6.8786369999999994,6.8786369999999994,125.98969906194642,2358.959196496474,2.984051747962569,12.72120435757948,4.363674530890815,64.62864535060584,607.1283868080384,2.7578882970742726,0.0,5.775360452857855,11.0,5.820466265068276,B2AR_Nico_dock.pdb
182,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-10.4063358815098,3.73,9.19,6.7428193,6.7428193,127.67077481137228,2360.5207469676293,1.6768085524878158,17.249851464490785,2.0110660669670857,47.28400584620307,632.1751528372697,1.626881165394781,0.0,5.1662200828585165,11.0,6.110688039238546,B2AR_Nico_dock.pdb
38,192764,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   94    0   94    0,-10.360477135585477,2.752,7.567,9.475659,9.454034,187.02750782619128,2806.7788443245736,3.5062314769457954,93.7613118707164,1.6955530883570744,93.63986533439714,814.5247725077327,1.9518048854511971,15.54037300365438,0.0,20.0,7.893141908979912,B2AR_Gast_dock.pdb
1,5893,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   72    0   72    0,-10.260825662366035,2.661,8.064,1.4113258,1.4113258,139.4533824847158,2319.887013533959,2.3337293819015823,18.888124858170507,2.088362977994902,66.88482657357325,687.2102037258389,1.981308455395605,0.0,5.613325575415801,11.0,6.16952817560218,B2AR_CD38L_dock.pdb
183,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-10.210654379535047,3.248,6.015,4.044484,4.044484,116.10969120299512,2394.83231862732,2.8992624952630357,7.4898006542388424,4.195671541532242,52.695331592562475,561.7564766435885,2.4343059329258607,0.0,6.7075190508384015,11.0,5.9602150976801,B2AR_Nico_dock.pdb
5,5893,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   72    0   72    0,-10.160610044530708,2.931,8.785,4.248424,4.248424,122.8809790457903,2398.1830158960765,2.149718614099273,15.316794068673664,2.0748203682542954,49.486702948430576,605.0470951474275,0.8964771956507207,0.0,3.1289231761706606,11.0,6.105677052225556,B2AR_CD38L_dock.pdb
0,5893,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   72    0   72    0,-10.106489135991437,0.0,0.0,8.225299,8.225299,120.03042478454701,2384.726256818889,2.859548521360898,9.501271513448183,3.5779734502686744,52.98742448428649,557.6411978085887,2.229912221799566,0.0,6.498130065770152,11.0,5.951422894216898,B2AR_CD38L_dock.pdb
187,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-10.090206138602131,4.136,8.892000000000001,7.0517387000000005,7.0517387000000005,117.1443844043555,2303.4221229587642,1.8851733940497135,16.82960691839834,2.5895775088523028,53.857300759961106,623.6346354241292,2.337111230280265,0.0,5.695400206036798,11.0,6.0741630334665375,B2AR_Nico_dock.pdb
37,192764,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   94    0   94    0,-10.079362175062718,2.303,7.127000000000001,9.408994,9.386738000000001,151.765073136675,2781.5934241226587,2.5645623526668433,89.8149596026621,1.904743683022596,97.88558506864264,798.3737880127883,1.2672193008914254,13.954808080469796,2.3642093291985145,20.0,7.89473287573538,B2AR_Gast_dock.pdb
137,    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  120    0  120    0,-10.073854955439748,2.238,9.613999999999999,1.1140887,0.9429238000000001,180.92528910587131,3229.0331955542833,5.155158651716188,95.86058850493684,3.544160719874531,162.29161739380692,1066.605904667921,5.3055239320797645,54.77388075193119,0.0,24.0,7.9293657836052915,B2AR_GHRP6_dock.pdb
3,5893,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   72    0   72    0,-10.065482818253516,3.195,9.201,4.9792255999999995,4.9792255999999995,111.5339607986846,2148.485573232885,2.0231167973971296,12.92402714659646,4.6535114249622636,79.79515971655678,586.467449262334,2.2971297819063023,0.0,5.056906732566328,11.0,5.932183250638253,B2AR_CD38L_dock.pdb
