,COMPND,AUTHOR,MASTER,vina_affinity,vina_rmsd_lb,vina_rmsd_ub,vina_rmsd_input,vina_rmsd_input_min,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,vina_hydrogen,vina_intra_gauss1,vina_intra_gauss2,vina_intra_repulsion,vina_intra_hydrophobic,vina_intra_hydrogen,vina_num_rotors,rfscore_v3,name
191,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-9.11757860471584,1.827,2.759,10.101542,10.101542,133.07883502453467,1932.4884819907095,2.030429827427415,9.795847150572767,2.7891314530816205,35.04570032506969,437.0594213772912,1.2073760059662606,0.0,2.8009065121169248,11.0,6.011237821622823,CD38_Nico_dock.pdb
63,5893,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   72    0   72    0,-8.988335689498637,0.0,0.0,1.4634161,1.4634161,142.79501545300894,1958.9158637675687,2.429522224034298,6.693262633383615,2.3623278505626595,43.98167601585308,519.3527670107776,1.2989575462589709,0.0,2.7777046603230353,11.0,5.940020244422245,CD38_CD38L_dock.pdb
67,5893,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   72    0   72    0,-8.931889455681274,1.455,2.5069999999999997,2.0432832,2.0432832,136.50591275256795,1869.555495485377,2.208094795584437,8.06470239524166,2.972354418967888,50.49162770806692,554.6893608753804,1.4027693513587836,0.0,1.8444501108585307,11.0,6.04684200704851,CD38_CD38L_dock.pdb
189,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-8.819327963111949,0.0,0.0,9.262344,9.262344,141.22271479578032,1934.292714455148,2.064369638017804,5.126641433797629,1.7720814917628742,57.495626892506465,527.331281543037,2.2294306276815132,0.0,4.76875212269422,11.0,5.925175958707957,CD38_Nico_dock.pdb
195,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-8.815121596860543,3.112,10.307,3.84476,3.84476,127.38448395996393,1709.688559581943,2.7113766969446274,1.5950019460123688,5.710977180836818,54.87543082293787,516.0004162790735,1.6157810152243186,0.0,3.1443660012277537,11.0,5.650023797147299,CD38_Nico_dock.pdb
66,5893,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   72    0   72    0,-8.793448702866979,3.137,10.812000000000001,10.609228,10.609228,114.63558812407558,1770.7151832943894,1.666522570874835,8.999437284036274,3.9490875144990296,51.22243117477462,546.0753902034603,2.2820132835377045,0.0,3.9574528925310624,11.0,5.897291142524147,CD38_CD38L_dock.pdb
190,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-8.690962918052614,1.423,2.4019999999999997,9.715861,9.715861,138.87091413089092,1952.0041016703976,2.7346568969000016,8.809164561243161,2.1386064147135726,55.56900883985611,537.6812106943729,2.1215255847096883,0.0,4.0989177608182645,11.0,5.963238496225997,CD38_Nico_dock.pdb
196,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-8.623625951564307,2.303,10.806,4.7244353,4.7244353,118.05381101749214,1832.9082026898966,1.9365670898216136,2.1091794090388145,3.51804329043654,46.50279486021136,419.6557663699601,1.2813528091091941,0.0,2.942284497685609,11.0,5.861784717338224,CD38_Nico_dock.pdb
65,5893,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   72    0   72    0,-8.595595519993413,4.973,7.599,7.447469,7.447469,118.83805780417191,1654.2027919100321,2.290084385500988,8.38921031508941,5.093270144439662,55.251466304994366,681.2402180167711,2.4813843255177654,0.0,5.879440656367465,11.0,6.243579339438343,CD38_CD38L_dock.pdb
192,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-8.582431169689412,4.46,7.409,9.073715,9.073715,118.4532754476347,1724.9820928298075,2.494765961967368,2.097092169970768,5.126706806360418,69.73163902476533,655.9732030232851,1.4131789292258223,0.0,3.7838610224804037,11.0,6.064779825840829,CD38_Nico_dock.pdb
