,COMPND,AUTHOR,MASTER,vina_affinity,vina_rmsd_lb,vina_rmsd_ub,vina_rmsd_input,vina_rmsd_input_min,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,vina_hydrogen,vina_intra_gauss1,vina_intra_gauss2,vina_intra_repulsion,vina_intra_hydrophobic,vina_intra_hydrogen,vina_num_rotors,rfscore_v3,name
157,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-7.309929731147741,18.802,23.061999999999998,5.7197566,5.7197566,98.59720401186036,1330.234807247236,2.286250995616289,1.084790121850724,6.000293267400454,48.67046553142993,544.4654639443371,2.6295979605354205,0.0,4.643556212567637,11.0,5.286282310744809,CD48_Nico_dock.pdb
158,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-6.944657515422275,14.378,18.279,9.3353195,9.3353195,90.00523398508766,1303.4397797432598,2.5841915228850567,4.251001400894562,5.971243208354718,64.14141241813581,534.8360656741756,2.055650778454863,0.0,5.2181464110483216,11.0,5.287321393939392,CD48_Nico_dock.pdb
169,192764,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   94    0   94    0,-6.9116469535280505,46.614,51.733999999999995,50.672676,50.669827000000005,139.21953551669858,1576.821243568978,2.7841007263636386,90.82416263223914,1.799620629811476,72.73145755705845,681.3614481264727,1.7756166130364293,5.972757716940893,1.939923988596706,20.0,6.591304315240325,CD48_Gast_dock.pdb
154,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-6.847085849827992,19.199,22.809,5.758018,5.758018,99.42156203666494,1339.9558854660024,2.6879227544842594,8.763882919643986,4.684579965876889,68.1120460882828,643.1514148693275,1.662331470992744,0.0,4.316459275795921,11.0,5.598775873515375,CD48_Nico_dock.pdb
153,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-6.8272180043287465,0.0,0.0,20.500034,20.500034,108.69643539919755,1375.1131222297377,2.0145318534488545,17.598351002215928,2.2655206404031984,62.92872951611336,533.0656900330212,2.581504043049224,0.0,6.103175976078098,11.0,6.079884429237424,CD48_Nico_dock.pdb
161,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-6.544872008822058,42.166000000000004,45.942,61.031517,61.031517,72.79090975299547,1245.6762255711465,2.3249110397029167,8.100321599204918,5.802479421743878,62.08700793740469,434.13277058718455,1.7143868008668872,0.0,4.9453374031646895,11.0,5.291001806859813,CD48_Nico_dock.pdb
162,192764,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   94    0   94    0,-6.485374667137124,0.0,0.0,5.665595,5.665595,118.25590487893182,1428.3337492223636,1.8019858491208782,58.42323321753089,3.3324758012545113,120.85501797518835,770.5259420511287,3.269747917004674,14.536671226055903,4.765843235104935,20.0,6.532216916527914,CD48_Gast_dock.pdb
155,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-6.471294872621563,15.722999999999999,19.875,4.9006643,4.9006643,81.70035835295614,1242.1521255758375,2.1131546980648874,7.735324508061598,4.805920705210429,65.42383386415703,642.3096406501527,2.5865898203712807,0.0,7.015370008595019,11.0,5.23950529115329,CD48_Nico_dock.pdb
156,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-6.470756145115713,2.079,8.611,20.863022,20.863022,92.86045731840204,1285.044063869781,3.8335967021900363,3.5672224710327085,6.461737300682921,68.34296239007276,508.2687070633875,2.507381472143312,0.0,5.842213837021777,11.0,5.446597639249637,CD48_Nico_dock.pdb
177,9833444,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  140    0  140    0,-6.385111495550689,38.830999999999996,45.071000000000005,8.694703,8.694703,163.16748369627692,2035.2019556681241,2.7742459990823685,70.12860473484808,4.503486136971133,187.88171252596746,1397.9107516258655,6.418370920729804,28.22827499261117,4.839620367240076,34.0,7.158182855144861,CD48_Chol_dock.pdb
29,439201,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  149    0  149    0,-6.360657176743843,44.46,52.678999999999995,12.342456,12.334679,148.11758760730598,2046.4083820207288,4.187760916727694,80.58364730630015,4.689077932405249,163.71562134079545,1300.5277762567039,5.155936823232937,13.263421816911464,3.1719833233322867,31.0,7.144245616522367,CD48_Brad_dock.pdb
